,Title,Publication Link,Authors,Pureportal Link,Publication Date
0,An Extended Plant Circadian Clock Model for Characterising Flowering Time under Different Light Quality Conditions,https://pureportal.coventry.ac.uk/en/publications/an-extended-plant-circadian-clock-model-for-characterising-flower,"Roden, L.",https://pureportal.coventry.ac.uk/en/persons/laura-roden,9 Jan 2023
1,Challenges and prospects of climate change impact assessment on mangrove environments through mathematical models,https://pureportal.coventry.ac.uk/en/publications/challenges-and-prospects-of-climate-change-impact-assessment-on-m,"Daneshkhah, A.",https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah,25 Feb 2023
2,Diabetic Retinopathy Detection Using Transfer and Reinforcement Learning with Effective Image Preprocessing and Data Augmentation Techniques,https://pureportal.coventry.ac.uk/en/publications/diabetic-retinopathy-detection-using-transfer-and-reinforcement-l,"Ma, Y.",https://pureportal.coventry.ac.uk/en/persons/yingliang-ma,7 Feb 2023
3,Entropy‐based lamarckian quantum‐behaved particle swarm optimization for flexible ligand docking,https://pureportal.coventry.ac.uk/en/publications/entropybased-lamarckian-quantumbehaved-particle-swarm-optimizatio,"Palade, V.",https://pureportal.coventry.ac.uk/en/persons/vasile-palade,Mar 2023
4,Extracting the Evolutionary Backbone of Scientific Domains: The Semantic Main Path Network Approach Based on Citation Context Analysis,https://pureportal.coventry.ac.uk/en/publications/extracting-the-evolutionary-backbone-of-scientific-domains-the-se,"Jiang, X.",https://pureportal.coventry.ac.uk/en/persons/xiaorui-jiang,15 Feb 2023
5,Gene Regulatory Network Inference through Link Prediction using Graph Neural Network,https://pureportal.coventry.ac.uk/en/publications/gene-regulatory-network-inference-through-link-prediction-using-g,"He, F.",https://pureportal.coventry.ac.uk/en/persons/fei-he,19 Jan 2023
6,Kernel-based Nonlinear Manifold Learning for EEG Functional Connectivity Analysis with Application to Alzheimer's Disease,https://pureportal.coventry.ac.uk/en/publications/kernel-based-nonlinear-manifold-learning-for-eeg-functional-conne,"He, F.",https://pureportal.coventry.ac.uk/en/persons/fei-he,19 Jan 2023
7,Not Born of Woman: Gendered Robots,https://pureportal.coventry.ac.uk/en/publications/not-born-of-woman-gendered-robots,"Shah, H.",https://pureportal.coventry.ac.uk/en/persons/huma-shah,26 Feb 2023
8,PoseNormNet: Identity-preserved Posture Normalization of 3D Body Scans in Arbitrary Postures,https://pureportal.coventry.ac.uk/en/publications/posenormnet-identity-preserved-posture-normalization-of-3d-body-s,"Hu, P.",https://pureportal.coventry.ac.uk/en/persons/pengpeng-hu,16 Feb 2023
9,Unidirectional Migration of Populations with Allee Effect,https://pureportal.coventry.ac.uk/en/publications/unidirectional-migration-of-populations-with-allee-effect,"Sadeghimanesh, A.",https://pureportal.coventry.ac.uk/en/persons/amirhosein-sadeghimanesh-sadeghi-manesh,10 Jan 2023
10,XDLL: Explained Deep Learning LiDAR-Based Localization and Mapping Method for Self-Driving Vehicles,https://pureportal.coventry.ac.uk/en/publications/xdll-explained-deep-learning-lidar-based-localization-and-mapping,"Palade, V.",https://pureportal.coventry.ac.uk/en/persons/vasile-palade,22 Jan 2023
11,A community energy management system for smart microgrids,https://pureportal.coventry.ac.uk/en/publications/a-community-energy-management-system-for-smart-microgrids,"Halford, A.",https://pureportal.coventry.ac.uk/en/persons/alison-halford,Aug 2022
12,A Hybrid Linear Iterative Clustering and Bayes Classification-Based GrabCut Segmentation Scheme for Dynamic Detection of Cervical Cancer,https://pureportal.coventry.ac.uk/en/publications/a-hybrid-linear-iterative-clustering-and-bayes-classification-bas,"Palade, V.",https://pureportal.coventry.ac.uk/en/persons/vasile-palade,18 Oct 2022
13,Allocating Medical Resources (vaccine) to Control a Pandemic,https://pureportal.coventry.ac.uk/en/publications/allocating-medical-resources-vaccine-to-control-a-pandemic,"Ajao-Olarinoye, M.",https://pureportal.coventry.ac.uk/en/persons/michael-ajao-olarinoye,26 Apr 2022
14,An Agent-Based Optimisation Approach for Vehicle Routing Problem with Unique Vehicle Location and Depot,https://pureportal.coventry.ac.uk/en/publications/an-agent-based-optimisation-approach-for-vehicle-routing-problem-,"Palade, V.",https://pureportal.coventry.ac.uk/en/persons/vasile-palade,15 Apr 2022
15,An Effective Swarm Intelligence Optimization Algorithm for Flexible Ligand Docking,https://pureportal.coventry.ac.uk/en/publications/an-effective-swarm-intelligence-optimization-algorithm-for-flexib,"Palade, V.",https://pureportal.coventry.ac.uk/en/persons/vasile-palade,1 Sep 2022
16,An improved Gaussian distribution based quantum-behaved particle swarm optimization algorithm for engineering shape design problems,https://pureportal.coventry.ac.uk/en/publications/an-improved-gaussian-distribution-based-quantum-behaved-particle-,"Palade, V.",https://pureportal.coventry.ac.uk/en/persons/vasile-palade,4 May 2022
17,An integrated framework for diagnosing process faults with incomplete features,https://pureportal.coventry.ac.uk/en/publications/an-integrated-framework-for-diagnosing-process-faults-with-incomp,"Palade, V.",https://pureportal.coventry.ac.uk/en/persons/vasile-palade,Jan 2022
18,An SMT solver for non-linear real arithmetic inside maple,https://pureportal.coventry.ac.uk/en/publications/an-smt-solver-for-non-linear-real-arithmetic-inside-maple-2,"England, M.",https://pureportal.coventry.ac.uk/en/persons/matthew-england,23 Nov 2022
19,An SMT solver for non-linear real arithmetic inside Maple,https://pureportal.coventry.ac.uk/en/publications/an-smt-solver-for-non-linear-real-arithmetic-inside-maple,"England, M.",https://pureportal.coventry.ac.uk/en/persons/matthew-england,6 Jul 2022
20,Application of Amazon Web Services within teaching & learning at Coventry University Group,https://pureportal.coventry.ac.uk/en/publications/application-of-amazon-web-services-within-teaching-amp-learning-a,"England, M.",https://pureportal.coventry.ac.uk/en/persons/matthew-england,6 Jan 2022
21,Artificial Intelligence in Cars: How Close Yet Far Are We from Fully Autonomous Vehicles?,https://pureportal.coventry.ac.uk/en/publications/artificial-intelligence-in-cars-how-close-yet-far-are-we-from-ful,"Deo, A.",https://pureportal.coventry.ac.uk/en/persons/ankur-deo,3 May 2022
22,Assessing Risks in Dairy Supply Chain Systems: A System Dynamics Approach,https://pureportal.coventry.ac.uk/en/publications/assessing-risks-in-dairy-supply-chain-systems-a-system-dynamics-a,"Daneshkhah, A.",https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah,4 Aug 2022
23,Bispectrum-based Cross-frequency Functional Connectivity: Classification of Alzheimer's disease,https://pureportal.coventry.ac.uk/en/publications/bispectrum-based-cross-frequency-functional-connectivity-classifi,"He, F.",https://pureportal.coventry.ac.uk/en/persons/fei-he,8 Sep 2022
24,Brain Tumor Classification Using a Combination of Variational Autoencoders and Generative Adversarial Networks,https://pureportal.coventry.ac.uk/en/publications/brain-tumor-classification-using-a-combination-of-variational-aut,"Palade, V.",https://pureportal.coventry.ac.uk/en/persons/vasile-palade,21 Jan 2022
25,Cell site analysis; Changes to networks with time,https://pureportal.coventry.ac.uk/en/publications/cell-site-analysis-changes-to-networks-with-time,"Tart, M. S.",https://pureportal.coventry.ac.uk/en/persons/matthew-stephen-tart,May 2022
26,Characterising Alzheimers Disease with EEG-based Energy Landscape Analysis,https://pureportal.coventry.ac.uk/en/publications/characterising-alzheimers-disease-with-eeg-based-energy-landscape-2,"He, F.",https://pureportal.coventry.ac.uk/en/persons/fei-he,1 Mar 2022
27,"Clogs and Shawls: Mormons, Moorlands, and the Search for Zion",https://pureportal.coventry.ac.uk/en/publications/clogs-and-shawls-mormons-moorlands-and-the-search-for-zion,"Halford, A.",https://pureportal.coventry.ac.uk/en/persons/alison-halford,31 Jan 2022
28,Comparative Graph-based Summarization of Scientific Papers Guided by Comparative Citations,https://pureportal.coventry.ac.uk/en/publications/comparative-graph-based-summarization-of-scientific-papers-guided,"Jiang, X.",https://pureportal.coventry.ac.uk/en/persons/xiaorui-jiang,Oct 2022
29,Comparing the Behaviour of Two Topic-Modelling Algorithms in COVID-19 Vaccination Tweets,https://pureportal.coventry.ac.uk/en/publications/comparing-the-behaviour-of-two-topic-modelling-algorithms-in-covi,"Daneshkhah, A.",https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah,Jan 2022
30,Contextualised Segment-Wise Citation Function Classification,https://pureportal.coventry.ac.uk/en/publications/contextualised-segment-wise-citation-function-classification,"Jiang, X.",https://pureportal.coventry.ac.uk/en/persons/xiaorui-jiang,2022
31,Convolution neural networks for pothole detection of critical road infrastructure,https://pureportal.coventry.ac.uk/en/publications/convolution-neural-networks-for-pothole-detection-of-critical-roa,"Palade, V.",https://pureportal.coventry.ac.uk/en/persons/vasile-palade,Apr 2022
32,Data-driven dynamical modelling of a pathogen-infected plant gene regulatory network: A comparative analysis,https://pureportal.coventry.ac.uk/en/publications/data-driven-dynamical-modelling-of-a-pathogen-infected-plant-gene,"He, F.",https://pureportal.coventry.ac.uk/en/persons/fei-he,Sep 2022
33,Detection of sleep apnea using Machine learning algorithms based on ECG Signals: A comprehensive systematic review,https://pureportal.coventry.ac.uk/en/publications/detection-of-sleep-apnea-using-machine-learning-algorithms-based-,"Daneshkhah, A.",https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah,Jan 2022
34,Differential radial basis function network for sequence modelling,https://pureportal.coventry.ac.uk/en/publications/differential-radial-basis-function-network-for-sequence-modelling,"Gaura, E.",https://pureportal.coventry.ac.uk/en/persons/elena-gaura,1 Mar 2022
35,Edge-Enhancement DenseNet for X-ray Fluoroscopy Image Denoising in Cardiac Electrophysiology Procedures,https://pureportal.coventry.ac.uk/en/publications/edge-enhancement-densenet-for-x-ray-fluoroscopy-image-denoising-i,"Ma, Y.",https://pureportal.coventry.ac.uk/en/persons/yingliang-ma,Feb 2022
36,EEG-based Graph Neural Network Classification of Alzheimer's Disease: An Empirical Evaluation of Functional Connectivity Methods,https://pureportal.coventry.ac.uk/en/publications/eeg-based-graph-neural-network-classification-of-alzheimers-disea,"He, F.",https://pureportal.coventry.ac.uk/en/persons/fei-he,6 Sep 2022
37,Efficacy of COVID-19 vaccines by race and ethnicity,https://pureportal.coventry.ac.uk/en/publications/efficacy-of-covid-19-vaccines-by-race-and-ethnicity,"Daneshkhah, A.",https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah,5 May 2022
38,Examining Type 1 Diabetes Mathematical Models Using Experimental Data,https://pureportal.coventry.ac.uk/en/publications/examining-type-1-diabetes-mathematical-models-using-experimental-,"Daneshkhah, A.",https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah,10 Jan 2022
39,Exploiting Domain Structures in Heuristic Algorithms for the Set Covering Problem: A Literature Review,https://pureportal.coventry.ac.uk/en/publications/exploiting-domain-structures-in-heuristic-algorithms-for-the-set-,"Babatunde, A.",https://pureportal.coventry.ac.uk/en/persons/abiola-babatunde,1 Apr 2022
40,Exploring dynamical properties of a Type 1 diabetes model using sensitivity approaches,https://pureportal.coventry.ac.uk/en/publications/exploring-dynamical-properties-of-a-type-1-diabetes-model-using-s,"Daneshkhah, A.",https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah,Nov 2022
41,"Fast, detailed, accurate simulation of a thermal car-cabin using machine-learning",https://pureportal.coventry.ac.uk/en/publications/fast-detailed-accurate-simulation-of-a-thermal-car-cabin-using-ma,"Gaura, E.",https://pureportal.coventry.ac.uk/en/persons/elena-gaura,10 Mar 2022
42,Feedback and Engagement on an Introductory Programming Module,https://pureportal.coventry.ac.uk/en/publications/feedback-and-engagement-on-an-introductory-programming-module,"England, M.",https://pureportal.coventry.ac.uk/en/persons/matthew-england,6 Jan 2022
43,Framework for Generating Integrable Expressions,https://pureportal.coventry.ac.uk/en/publications/framework-for-generating-integrable-expressions,"Barket, R.",https://pureportal.coventry.ac.uk/en/persons/rashid-barket,2 Nov 2022
44,From Theory to Practice: A review of co-design methods for humanitarian energy ecosystems,https://pureportal.coventry.ac.uk/en/publications/from-theory-to-practice-a-review-of-co-design-methods-for-humanit,"Gaura, E.",https://pureportal.coventry.ac.uk/en/persons/elena-gaura,Jul 2022
45,Gaussian Process Emulation of Spatio-temporal Outputs of a 2D Inland Flood Model,https://pureportal.coventry.ac.uk/en/publications/gaussian-process-emulation-of-spatio-temporal-outputs-of-a-2d-inl,"Daneshkhah, A.",https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah,15 Oct 2022
46,Impact Evaluation of Solar Photovoltaic Electrification: Indigenous Community Case Study in Brazilian Amazon,https://pureportal.coventry.ac.uk/en/publications/impact-evaluation-of-solar-photovoltaic-electrification-indigenou,"Daneshkhah, A.",https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah,14 Apr 2022
47,Incorporating forecasting and peer-to-peer negotiation frameworks into a distributed model predictive control approach for meshed electric networks,https://pureportal.coventry.ac.uk/en/publications/incorporating-forecasting-and-peer-to-peer-negotiation-frameworks,"Gaura, E.",https://pureportal.coventry.ac.uk/en/persons/elena-gaura,1 Sep 2022
48,Kac-Rice formulas and the number of solutions of parametrized systems of polynomial equations,https://pureportal.coventry.ac.uk/en/publications/kac-rice-formulas-and-the-number-of-solutions-of-parametrized-sys,"Sadeghimanesh, A.",https://pureportal.coventry.ac.uk/en/persons/amirhosein-sadeghimanesh-sadeghi-manesh,11 Aug 2022
49,Levelwise construction of a single cylindrical algebraic cell,https://pureportal.coventry.ac.uk/en/publications/levelwise-construction-of-a-single-cylindrical-algebraic-cell,"England, M.",https://pureportal.coventry.ac.uk/en/persons/matthew-england,25 Nov 2022
50,Leveraging Arabic sentiment classification using an enhanced CNN-LSTM approach and effective Arabic text preparation,https://pureportal.coventry.ac.uk/en/publications/leveraging-arabic-sentiment-classification-using-an-enhanced-cnn-,"Palade, V.",https://pureportal.coventry.ac.uk/en/persons/vasile-palade,Nov 2022
51,LIFT: lncRNA identification and function-prediction tool,https://pureportal.coventry.ac.uk/en/publications/lift-lncrna-identification-and-function-prediction-tool,"England, M.",https://pureportal.coventry.ac.uk/en/persons/matthew-england,17 Jan 2022
52,Machine Learning for Computer Algebra,https://pureportal.coventry.ac.uk/en/publications/machine-learning-for-computer-algebra,"England, M.",https://pureportal.coventry.ac.uk/en/persons/matthew-england,2022
53,Markov Chain Monte Carlo-Based Estimation of Stress–Strength Reliability Parameter for Generalized Linear Failure Rate Distributions,https://pureportal.coventry.ac.uk/en/publications/markov-chain-monte-carlo-based-estimation-of-stressstrength-relia,"Daneshkhah, A.",https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah,2022
54,"Matrix decomposition by transforming the unit sphere to an Ellipsoid through Dilation, Rotation and Shearing",https://pureportal.coventry.ac.uk/en/publications/matrix-decomposition-by-transforming-the-unit-sphere-to-an-ellips,"Sadeghimanesh, A.",https://pureportal.coventry.ac.uk/en/persons/amirhosein-sadeghimanesh-sadeghi-manesh,19 Oct 2022
55,Minimizing Age of Information in Multi-hop Energy-Harvesting Wireless Sensor Network,https://pureportal.coventry.ac.uk/en/publications/minimizing-age-of-information-in-multi-hop-energy-harvesting-wire,"Benkhelifa, F.",https://pureportal.coventry.ac.uk/en/persons/fatma-benkhelifa,9 Aug 2022
56,Monte Carlo Simulation of Stochastic Differential Equation to Study Information Geometry,https://pureportal.coventry.ac.uk/en/publications/monte-carlo-simulation-of-stochastic-differential-equation-to-stu,"Kim, E.",https://pureportal.coventry.ac.uk/en/persons/e-j-kim,12 Aug 2022
57,More than faith - Muslim-heritage children in care: Strategic Briefing,https://pureportal.coventry.ac.uk/en/publications/more-than-faith-muslim-heritage-children-in-care-strategic-briefi,"Cheruvallil-Contractor, S.",https://pureportal.coventry.ac.uk/en/persons/sariya-cheruvallil-contractor,31 May 2022
58,Multi-phase locking value: A generalized method for determining instantaneous multi-frequency phase coupling,https://pureportal.coventry.ac.uk/en/publications/multi-phase-locking-value-a-generalized-method-for-determining-in-2,"He, F.",https://pureportal.coventry.ac.uk/en/persons/fei-he,Apr 2022
59,New heuristic to choose a cylindrical algebraic decomposition variable ordering motivated by complexity analysis,https://pureportal.coventry.ac.uk/en/publications/new-heuristic-to-choose-a-cylindrical-algebraic-decomposition-var,"England, M.",https://pureportal.coventry.ac.uk/en/persons/matthew-england,11 Aug 2022
60,Off the boil? The challenges of monitoring cooking behaviour in refugee settlements,https://pureportal.coventry.ac.uk/en/publications/off-the-boil-the-challenges-of-monitoring-cooking-behaviour-in-re,"Nixon, J.",https://pureportal.coventry.ac.uk/en/persons/jonathan-nixon,22 Aug 2022
61,On the impact of prior distributions on efficiency of sparse Gaussian process regression,https://pureportal.coventry.ac.uk/en/publications/on-the-impact-of-prior-distributions-on-efficiency-of-sparse-gaus,"Daneshkhah, A.",https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah,26 Jun 2022
62,On the Implementation of Cylindrical Algebraic Coverings for Satisfiability Modulo Theories Solving,https://pureportal.coventry.ac.uk/en/publications/on-the-implementation-of-cylindrical-algebraic-coverings-for-sati,"England, M.",https://pureportal.coventry.ac.uk/en/persons/matthew-england,10 Feb 2022
63,On the Scalability of Duty-Cycled LoRa Networks with Imperfect SF Orthogonality,https://pureportal.coventry.ac.uk/en/publications/on-the-scalability-of-duty-cycled-lora-networks-with-imperfect-sf,"Benkhelifa, F.",https://pureportal.coventry.ac.uk/en/persons/fatma-benkhelifa,1 Nov 2022
64,Parallel multi-swarm cooperative particle swarm optimization for protein–ligand docking and virtual screening,https://pureportal.coventry.ac.uk/en/publications/parallel-multi-swarm-cooperative-particle-swarm-optimization-for-,"Palade, V.",https://pureportal.coventry.ac.uk/en/persons/vasile-palade,30 May 2022
65,Parts of Speech Tagging in NLP- an Investigation on Runtime Optimization with Quantum Formulation and ZX Calculus,https://pureportal.coventry.ac.uk/en/publications/parts-of-speech-tagging-in-nlp-an-investigation-on-runtime-optimi,"Palade, V.",https://pureportal.coventry.ac.uk/en/persons/vasile-palade,10 Mar 2022
66,Polynomial Superlevel Set Representation of the Multistationarity Region of Chemical Reaction Networks,https://pureportal.coventry.ac.uk/en/publications/polynomial-superlevel-set-representation-of-the-multistationarity,"England, M.",https://pureportal.coventry.ac.uk/en/persons/matthew-england,27 Sep 2022
67,Predicting Primary Sequence-Based Protein-Protein Interactions Using a Mercer Series Representation of Nonlinear Support Vector Machine,https://pureportal.coventry.ac.uk/en/publications/predicting-primary-sequence-based-protein-protein-interactions-us,"Daneshkhah, A.",https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah,1 Dec 2022
68,Predicting the Public Adoption of Connected and Autonomous Vehicles,https://pureportal.coventry.ac.uk/en/publications/predicting-the-public-adoption-of-connected-and-autonomous-vehicl,"Palade, V.",https://pureportal.coventry.ac.uk/en/persons/vasile-palade,1 Feb 2022
69,Privacy Enhancing Technologies (PETs) for Connected Vehicles in Smart Cities,https://pureportal.coventry.ac.uk/en/publications/privacy-enhancing-technologies-pets-for-connected-vehicles-in-sma,"Mitchell, F.",https://pureportal.coventry.ac.uk/en/persons/faye-mitchell,Oct 2022
70,Rapid Localization and Mapping Method Based on Adaptive Particle Filters,https://pureportal.coventry.ac.uk/en/publications/rapid-localization-and-mapping-method-based-on-adaptive-particle-,"Palade, V.",https://pureportal.coventry.ac.uk/en/persons/vasile-palade,2 Dec 2022
71,RDPSOVina: the random drift particle swarm optimization for protein-ligand docking,https://pureportal.coventry.ac.uk/en/publications/rdpsovina-the-random-drift-particle-swarm-optimization-for-protei,"Palade, V.",https://pureportal.coventry.ac.uk/en/persons/vasile-palade,Jun 2022
72,Resilient Consensus Control Design for DC Microgrids against False Data Injection Attacks Using a Distributed Bank of Sliding Mode Observers,https://pureportal.coventry.ac.uk/en/publications/resilient-consensus-control-design-for-dc-microgrids-against-fals,"Palade, V.",https://pureportal.coventry.ac.uk/en/persons/vasile-palade,30 Mar 2022
